"","0","1","p","test"
"n","   670","   413","",""
"Age (mean (SD))"," 61.61 (13.77)"," 62.38 (11.89)"," 0.342",""
"Sex = 2 (%)","   279 (41.6) ","   164 (39.7) "," 0.572",""
"vitalstatus = 1 (%)","   471 (70.3) ","   342 (82.8) ","<0.001",""
"ECOG PS (%)","   ","   "," 0.035",""
"   0","   249 (41.2) ","   129 (33.7) ","",""
"   1","   251 (41.5) ","   175 (45.7) ","",""
"   2","    91 (15.0) ","    61 (15.9) ","",""
"   >2","    14 ( 2.3) ","    18 ( 4.7) ","",""
"Staging (%)","   ","   "," 0.049",""
"   2","     1 ( 0.2) ","     0 ( 0.0) ","",""
"   3","    74 (11.8) ","    31 ( 7.9) ","",""
"   4","   531 (84.8) ","   357 (90.6) ","",""
"   Unknown","    20 ( 3.2) ","     6 ( 1.5) ","",""
"Immunotherapy (%)","   ","   "," 0.619",""
"   CTLA4","   117 (17.5) ","    78 (19.0) ","",""
"   Other","    31 ( 4.6) ","    13 ( 3.2) ","",""
"   PD1/L1","   471 (70.3) ","   291 (70.8) ","",""
"   PD1/L1 + CTLA4","    51 ( 7.6) ","    29 ( 7.1) ","",""
"Therapy = 1 (%)","   243 (37.0) ","   127 (31.3) "," 0.067",""
"Chemo_prior (mean (SD))","  0.51 (0.50)","  0.58 (0.49)"," 0.022",""
"follow_up_time (median [IQR])","443.50 [146.75, 1179.50]","299.00 [102.00, 792.00]","<0.001","nonnorm"
